origin,destination,mode,estimated_cost,cost_unit,cost_type
Ahmedabad,Dwarka,bus,700,per_person_one_way,rough_estimate
Ahmedabad,Dwarka,taxi,3000,per_person_one_way,rough_estimate
Ahmedabad,Dwarka,train,800,per_person_one_way,rough_estimate
Ahmedabad,Jaipur,bus,800,per_person_one_way,rough_estimate
Ahmedabad,Jaipur,taxi,3000,per_person_one_way,rough_estimate
Ahmedabad,Jaipur,train,900,per_person_one_way,rough_estimate
Ahmedabad,Jodhpur,bus,700,per_person_one_way,rough_estimate
Ahmedabad,Jodhpur,taxi,2800,per_person_one_way,rough_estimate
Ahmedabad,Jodhpur,train,800,per_person_one_way,rough_estimate
Ahmedabad,Mumbai,bus,700,per_person_one_way,rough_estimate
Ahmedabad,Mumbai,taxi,3000,per_person_one_way,rough_estimate
Ahmedabad,Mumbai,train,800,per_person_one_way,rough_estimate
Ahmedabad,Udaipur,bus,500,per_person_one_way,rough_estimate
Ahmedabad,Udaipur,taxi,2200,per_person_one_way,rough_estimate
Ahmedabad,Udaipur,train,550,per_person_one_way,rough_estimate
Bangalore,Chennai,bus,500,per_person_one_way,rough_estimate
Bangalore,Chennai,taxi,2200,per_person_one_way,rough_estimate
Bangalore,Chennai,train,550,per_person_one_way,rough_estimate
Bangalore,Chikmagalur,bus,400,per_person_one_way,rough_estimate
Bangalore,Chikmagalur,taxi,1800,per_person_one_way,rough_estimate
Bangalore,Coorg,bus,500,per_person_one_way,rough_estimate
Bangalore,Coorg,taxi,2200,per_person_one_way,rough_estimate
Bangalore,Goa,bus,1000,per_person_one_way,rough_estimate
Bangalore,Goa,flight,3000,per_person_one_way,rough_estimate
Bangalore,Goa,train,900,per_person_one_way,rough_estimate
Bangalore,Hampi,bus,700,per_person_one_way,rough_estimate
Bangalore,Hampi,taxi,3000,per_person_one_way,rough_estimate
Bangalore,Hampi,train,750,per_person_one_way,rough_estimate
Bangalore,Hyderabad,bus,900,per_person_one_way,rough_estimate
Bangalore,Hyderabad,taxi,3500,per_person_one_way,rough_estimate
Bangalore,Hyderabad,train,950,per_person_one_way,rough_estimate
Bangalore,Kabini,bus,500,per_person_one_way,rough_estimate
Bangalore,Kabini,taxi,2200,per_person_one_way,rough_estimate
Bangalore,Kabini,train,550,per_person_one_way,rough_estimate
Bangalore,Kanyakumari,bus,1100,per_person_one_way,rough_estimate
Bangalore,Kanyakumari,taxi,4500,per_person_one_way,rough_estimate
Bangalore,Kanyakumari,train,1200,per_person_one_way,rough_estimate
Bangalore,Kodaikanal,bus,700,per_person_one_way,rough_estimate
Bangalore,Kodaikanal,taxi,3000,per_person_one_way,rough_estimate
Bangalore,Kodaikanal,train,750,per_person_one_way,rough_estimate
Bangalore,Mangalore,bus,500,per_person_one_way,rough_estimate
