region,destination,attraction,image_1,image_2,image_3,search_query
Ariyalur,Ariyalur,Gangaikonda Cholapuram,/destinations/ariyalur/1.jpg,/destinations/ariyalur/2.jpg,/destinations/ariyalur/3.jpg,"Gangaikonda Cholapuram, Ariyalur, India travel"
Chengalpattu,Chengalpattu,Mahabalipuram Shore Temple,/destinations/chengalpattu/1.jpg,/destinations/chengalpattu/2.jpg,/destinations/chengalpattu/3.jpg,"Mahabalipuram Shore Temple, Chengalpattu, India travel"
Chennai,Chennai,Marina Beach,/destinations/chennai/1.jpg,/destinations/chennai/2.jpg,/destinations/chennai/3.jpg,"Marina Beach, Chennai, India travel"
Coimbatore,Coimbatore,Marudamalai Temple,/destinations/coimbatore/1.jpg,/destinations/coimbatore/2.jpg,/destinations/coimbatore/3.jpg,"Marudamalai Temple, Coimbatore, India travel"
Cuddalore,Cuddalore,Pichavaram Mangrove Forest,/destinations/cuddalore/1.jpg,/destinations/cuddalore/2.jpg,/destinations/cuddalore/3.jpg,"Pichavaram Mangrove Forest, Cuddalore, India travel"
Dharmapuri,Dharmapuri,Hogenakkal Falls,/destinations/dharmapuri/1.jpg,/destinations/dharmapuri/2.jpg,/destinations/dharmapuri/3.jpg,"Hogenakkal Falls, Dharmapuri, India travel"
Dindigul,Dindigul,Kodaikanal,/destinations/dindigul/1.jpg,/destinations/dindigul/2.jpg,/destinations/dindigul/3.jpg,"Kodaikanal, Dindigul, India travel"
Erode,Erode,Bhavanisagar Dam,/destinations/erode/1.jpg,/destinations/erode/2.jpg,/destinations/erode/3.jpg,"Bhavanisagar Dam, Erode, India travel"
Kallakurichi,Kallakurichi,Kalvarayan Hills,/destinations/kallakurichi/1.jpg,/destinations/kallakurichi/2.jpg,/destinations/kallakurichi/3.jpg,"Kalvarayan Hills, Kallakurichi, India travel"
Kancheepuram,Kancheepuram,Kailasanathar Temple,/destinations/kancheepuram/1.jpg,/destinations/kancheepuram/2.jpg,/destinations/kancheepuram/3.jpg,"Kailasanathar Temple, Kancheepuram, India travel"
Kanyakumari,Kanyakumari,Vivekananda Rock Memorial,/destinations/kanyakumari/1.jpg,/destinations/kanyakumari/2.jpg,/destinations/kanyakumari/3.jpg,"Vivekananda Rock Memorial, Kanyakumari, India travel"
Karur,Karur,Mayuranathaswamy Temple,/destinations/karur/1.jpg,/destinations/karur/2.jpg,/destinations/karur/3.jpg,"Mayuranathaswamy Temple, Karur, India travel"
Krishnagiri,Krishnagiri,Krishnagiri Fort,/destinations/krishnagiri/1.jpg,/destinations/krishnagiri/2.jpg,/destinations/krishnagiri/3.jpg,"Krishnagiri Fort, Krishnagiri, India travel"
Madurai,Madurai,Meenakshi Amman Temple,/destinations/madurai/1.jpg,/destinations/madurai/2.jpg,/destinations/madurai/3.jpg,"Meenakshi Amman Temple, Madurai, India travel"
Mayiladuthurai,Mayiladuthurai,Mayuranathaswamy Temple,/destinations/mayiladuthurai/1.jpg,/destinations/mayiladuthurai/2.jpg,/destinations/mayiladuthurai/3.jpg,"Mayuranathaswamy Temple, Mayiladuthurai, India travel"
Nagapattinam,Nagapattinam,Velankanni Basilica,/destinations/nagapattinam/1.jpg,/destinations/nagapattinam/2.jpg,/destinations/nagapattinam/3.jpg,"Velankanni Basilica, Nagapattinam, India travel"
Namakkal,Namakkal,Namakkal Anjaneyar Temple,/destinations/namakkal/1.jpg,/destinations/namakkal/2.jpg,/destinations/namakkal/3.jpg,"Namakkal Anjaneyar Temple, Namakkal, India travel"
Nilgiris,The Nilgiris,Ooty,/destinations/the_nilgiris/1.jpg,/destinations/the_nilgiris/2.jpg,/destinations/the_nilgiris/3.jpg,"Ooty, The Nilgiris, India travel"
Perambalur,Perambalur,Ranjankudi Fort,/destinations/perambalur/1.jpg,/destinations/perambalur/2.jpg,/destinations/perambalur/3.jpg,"Ranjankudi Fort, Perambalur, India travel"
Pudukkottai,Pudukkottai,Sittannavasal,/destinations/pudukkottai/1.jpg,/destinations/pudukkottai/2.jpg,/destinations/pudukkottai/3.jpg,"Sittannavasal, Pudukkottai, India travel"
Ramanathapuram,Ramanathapuram,Rameswaram,/destinations/ramanathapuram/1.jpg,/destinations/ramanathapuram/2.jpg,/destinations/ramanathapuram/3.jpg,"Rameswaram, Ramanathapuram, India travel"
Ranipet,Ranipet,Arcot Fort,/destinations/ranipet/1.jpg,/destinations/ranipet/2.jpg,/destinations/ranipet/3.jpg,"Arcot Fort, Ranipet, India travel"
Salem,Salem,Yercaud,/destinations/salem/1.jpg,/destinations/salem/2.jpg,/destinations/salem/3.jpg,"Yercaud, Salem, India travel"
Sivaganga,Sivaganga,Chettinad,/destinations/sivaganga/1.jpg,/destinations/sivaganga/2.jpg,/destinations/sivaganga/3.jpg,"Chettinad, Sivaganga, India travel"
Tenkasi,Tenkasi,Courtallam Falls,/destinations/tenkasi/1.jpg,/destinations/tenkasi/2.jpg,/destinations/tenkasi/3.jpg,"Courtallam Falls, Tenkasi, India travel"
Thanjavur,Thanjavur,Brihadeeswarar Temple,/destinations/thanjavur/1.jpg,/destinations/thanjavur/2.jpg,/destinations/thanjavur/3.jpg,"Brihadeeswarar Temple, Thanjavur, India travel"
Theni,Theni,Meghamalai,/destinations/theni/1.jpg,/destinations/theni/2.jpg,/destinations/theni/3.jpg,"Meghamalai, Theni, India travel"
Thoothukudi,Thoothukudi,Manapad,/destinations/thoothukudi/1.jpg,/destinations/thoothukudi/2.jpg,/destinations/thoothukudi/3.jpg,"Manapad, Thoothukudi, India travel"
Tiruchirappalli,Tiruchirappalli,Rockfort Temple,/destinations/tiruchirappalli/1.jpg,/destinations/tiruchirappalli/2.jpg,/destinations/tiruchirappalli/3.jpg,"Rockfort Temple, Tiruchirappalli, India travel"
Tirunelveli,Tirunelveli,Manimuthar Falls,/destinations/tirunelveli/1.jpg,/destinations/tirunelveli/2.jpg,/destinations/tirunelveli/3.jpg,"Manimuthar Falls, Tirunelveli, India travel"
Tirupathur,Tirupathur,Yelagiri,/destinations/tirupathur/1.jpg,/destinations/tirupathur/2.jpg,/destinations/tirupathur/3.jpg,"Yelagiri, Tirupathur, India travel"
Tiruppur,Tiruppur,Amaravathi Dam,/destinations/tiruppur/1.jpg,/destinations/tiruppur/2.jpg,/destinations/tiruppur/3.jpg,"Amaravathi Dam, Tiruppur, India travel"
Tiruvallur,Tiruvallur,Pulicat Lake,/destinations/tiruvallur/1.jpg,/destinations/tiruvallur/2.jpg,/destinations/tiruvallur/3.jpg,"Pulicat Lake, Tiruvallur, India travel"
Tiruvarur,Tiruvarur,Thyagaraja Temple,/destinations/tiruvarur/1.jpg,/destinations/tiruvarur/2.jpg,/destinations/tiruvarur/3.jpg,"Thyagaraja Temple, Tiruvarur, India travel"
Tiruvannamalai,Tiruvannamalai,Arunachaleswarar Temple,/destinations/tiruvannamalai/1.jpg,/destinations/tiruvannamalai/2.jpg,/destinations/tiruvannamalai/3.jpg,"Arunachaleswarar Temple, Tiruvannamalai, India travel"
Vellore,Vellore,Vellore Fort,/destinations/vellore/1.jpg,/destinations/vellore/2.jpg,/destinations/vellore/3.jpg,"Vellore Fort, Vellore, India travel"
Viluppuram,Viluppuram,Gingee Fort,/destinations/viluppuram/1.jpg,/destinations/viluppuram/2.jpg,/destinations/viluppuram/3.jpg,"Gingee Fort, Viluppuram, India travel"
Virudhunagar,Virudhunagar,Srivilliputhur Andal Temple,/destinations/virudhunagar/1.jpg,/destinations/virudhunagar/2.jpg,/destinations/virudhunagar/3.jpg,"Srivilliputhur Andal Temple, Virudhunagar, India travel"
Tamil Nadu,Chennai,Kapaleeshwarar Temple,/destinations/chennai/1.jpg,/destinations/chennai/2.jpg,/destinations/chennai/3.jpg,"Kapaleeshwarar Temple, Chennai, India travel"
Tamil Nadu,Chennai,Fort St George,/destinations/chennai/1.jpg,/destinations/chennai/2.jpg,/destinations/chennai/3.jpg,"Fort St George, Chennai, India travel"
Tamil Nadu,Mahabalipuram,Pancha Rathas,/destinations/mahabalipuram/1.jpg,/destinations/mahabalipuram/2.jpg,/destinations/mahabalipuram/3.jpg,"Pancha Rathas, Mahabalipuram, India travel"
Tamil Nadu,Kodaikanal,Kodaikanal Lake,/destinations/kodaikanal/1.jpg,/destinations/kodaikanal/2.jpg,/destinations/kodaikanal/3.jpg,"Kodaikanal Lake, Kodaikanal, India travel"
Tamil Nadu,Ooty,Ooty Lake,/destinations/ooty/1.jpg,/destinations/ooty/2.jpg,/destinations/ooty/3.jpg,"Ooty Lake, Ooty, India travel"
Tamil Nadu,Rameswaram,Pamban Bridge,/destinations/rameswaram/1.jpg,/destinations/rameswaram/2.jpg,/destinations/rameswaram/3.jpg,"Pamban Bridge, Rameswaram, India travel"
Tamil Nadu,Chidambaram,Nataraja Temple,/destinations/chidambaram/1.jpg,/destinations/chidambaram/2.jpg,/destinations/chidambaram/3.jpg,"Nataraja Temple, Chidambaram, India travel"
Tamil Nadu,Kumbakonam,Airavatesvara Temple,/destinations/kumbakonam/1.jpg,/destinations/kumbakonam/2.jpg,/destinations/kumbakonam/3.jpg,"Airavatesvara Temple, Kumbakonam, India travel"
Tamil Nadu,Tranquebar,Danish Fort,/destinations/tranquebar/1.jpg,/destinations/tranquebar/2.jpg,/destinations/tranquebar/3.jpg,"Danish Fort, Tranquebar, India travel"
Tamil Nadu,Valparai,Valparai Hills,/destinations/valparai/1.jpg,/destinations/valparai/2.jpg,/destinations/valparai/3.jpg,"Valparai Hills, Valparai, India travel"
India,Agra,Taj Mahal,/destinations/agra/1.jpg,/destinations/agra/2.jpg,/destinations/agra/3.jpg,"Taj Mahal, Agra, India travel"
India,Jaipur,Amber Fort,/destinations/jaipur/1.jpg,/destinations/jaipur/2.jpg,/destinations/jaipur/3.jpg,"Amber Fort, Jaipur, India travel"
India,Jaipur,Hawa Mahal,/destinations/jaipur/1.jpg,/destinations/jaipur/2.jpg,/destinations/jaipur/3.jpg,"Hawa Mahal, Jaipur, India travel"
India,Udaipur,Lake Pichola,/destinations/udaipur/1.jpg,/destinations/udaipur/2.jpg,/destinations/udaipur/3.jpg,"Lake Pichola, Udaipur, India travel"
India,Delhi,India Gate,/destinations/delhi/1.jpg,/destinations/delhi/2.jpg,/destinations/delhi/3.jpg,"India Gate, Delhi, India travel"
India,Delhi,Red Fort,/destinations/delhi/1.jpg,/destinations/delhi/2.jpg,/destinations/delhi/3.jpg,"Red Fort, Delhi, India travel"
India,Mumbai,Gateway of India,/destinations/mumbai/1.jpg,/destinations/mumbai/2.jpg,/destinations/mumbai/3.jpg,"Gateway of India, Mumbai, India travel"
India,Goa,Baga Beach,/destinations/goa/1.jpg,/destinations/goa/2.jpg,/destinations/goa/3.jpg,"Baga Beach, Goa, India travel"
India,Goa,Basilica of Bom Jesus,/destinations/goa/1.jpg,/destinations/goa/2.jpg,/destinations/goa/3.jpg,"Basilica of Bom Jesus, Goa, India travel"
India,Kerala,Alleppey Backwaters,/destinations/kerala/1.jpg,/destinations/kerala/2.jpg,/destinations/kerala/3.jpg,"Alleppey Backwaters, Kerala, India travel"
India,Munnar,Munnar Tea Gardens,/destinations/munnar/1.jpg,/destinations/munnar/2.jpg,/destinations/munnar/3.jpg,"Munnar Tea Gardens, Munnar, India travel"
India,Wayanad,Wayanad Hills,/destinations/wayanad/1.jpg,/destinations/wayanad/2.jpg,/destinations/wayanad/3.jpg,"Wayanad Hills, Wayanad, India travel"
India,Karnataka,Mysore Palace,/destinations/karnataka/1.jpg,/destinations/karnataka/2.jpg,/destinations/karnataka/3.jpg,"Mysore Palace, Karnataka, India travel"
India,Karnataka,Hampi,/destinations/karnataka/1.jpg,/destinations/karnataka/2.jpg,/destinations/karnataka/3.jpg,"Hampi, Karnataka, India travel"
India,Hyderabad,Charminar,/destinations/hyderabad/1.jpg,/destinations/hyderabad/2.jpg,/destinations/hyderabad/3.jpg,"Charminar, Hyderabad, India travel"
